Numéro du tour; Age; Poisson; Requin
0;1;216;50;

10;3;227;0;
10;2;209;0;
10;1;341;0;
10;0;190;40;
10;6;117;0;
10;5;109;0;
10;4;114;0;
10;8;111;0;
10;11;102;40;

20;18;72;0;
20;15;72;0;
20;16;82;0;
20;13;152;0;
20;14;82;0;
20;11;229;0;
20;12;137;0;
20;21;67;40;
20;3;48;0;
20;2;57;0;
20;1;67;0;
20;10;117;40;
20;0;39;40;
20;7;41;0;
20;6;42;0;
20;5;50;0;
20;4;50;0;
20;9;35;0;
20;8;41;0;

30;19;15;0;
30;17;16;0;
30;18;14;0;
30;15;24;0;
30;16;17;0;
30;13;21;0;
30;14;17;0;
30;11;13;0;
30;12;16;0;
30;21;122;0;
30;20;59;40;
30;22;67;0;
30;23;81;0;
30;24;47;0;
30;25;40;0;
30;26;45;0;
30;28;39;0;
30;3;76;0;
30;2;102;0;
30;10;8;40;
30;1;120;0;
30;0;109;40;
30;7;47;0;
30;6;53;0;
30;5;66;0;
30;31;44;40;
30;4;71;0;
30;9;18;40;
30;8;33;0;

40;19;3;40;
40;17;7;0;
40;35;18;0;
40;18;4;0;
40;36;13;0;
40;15;10;0;
40;33;28;0;
40;16;7;0;
40;34;17;0;
40;13;9;0;
40;14;6;0;
40;11;13;0;
40;12;9;0;
40;38;12;0;
40;21;2;0;
40;20;1;40;
40;41;16;40;
40;22;2;0;
40;23;3;0;
40;24;5;0;
40;25;4;0;
40;26;6;0;
40;27;2;0;
40;28;2;0;
40;29;4;0;
40;3;112;0;
40;2;127;0;
40;1;177;0;
40;10;12;40;
40;0;250;40;
40;30;13;40;
40;7;36;0;
40;6;59;0;
40;5;58;0;
40;32;31;0;
40;31;45;0;
40;4;81;0;
40;9;13;80;
40;8;22;40;

50;19;0;13;
50;18;0;5;
50;20;0;7;
50;43;1;0;
50;42;1;0;
50;41;1;0;
50;40;0;6;
50;23;1;0;
50;29;0;1;
50;3;4;0;
50;2;12;0;
50;1;7;0;
50;10;0;8;
50;0;12;10;
50;7;0;4;
50;30;0;5;
50;6;3;0;
50;5;1;0;
50;4;1;0;
50;51;1;9;
50;9;2;17;
50;8;0;19;

60;11;2;0;
60;12;3;0;
60;3;12;0;
60;2;17;0;
60;10;1;0;
60;1;24;0;
60;0;29;0;
60;7;4;0;
60;6;6;0;
60;5;6;0;
60;4;11;0;
60;9;5;1;
60;8;2;1;
60;50;0;1;

70;19;4;0;
70;17;4;0;
70;18;2;0;
70;15;6;0;
70;16;6;0;
70;13;12;0;
70;14;10;0;
70;11;23;0;
70;12;17;0;
70;21;2;0;
70;20;1;0;
70;22;3;0;
70;3;209;0;
70;2;274;0;
70;1;367;0;
70;10;29;0;
70;0;105;0;
70;7;69;1;
70;6;89;0;
70;5;118;0;
70;4;158;0;
70;9;39;1;
70;8;51;0;

80;19;39;1;
80;17;69;1;
80;18;51;0;
80;15;117;0;
80;16;89;0;
80;13;208;0;
80;14;157;0;
80;11;356;0;
80;12;268;0;
80;21;22;0;
80;20;29;0;
80;22;17;0;
80;23;12;0;
80;24;10;0;
80;25;6;0;
80;26;6;0;
80;27;4;0;
80;28;2;0;
80;29;4;0;
80;3;4;0;
80;2;3;0;
80;1;3;0;
80;10;101;0;
80;0;4;0;
80;30;1;0;
80;6;1;1;
80;5;2;0;
80;32;3;0;
80;4;3;0;
80;31;2;0;
80;9;2;0;
80;8;1;1;

90;19;1;0;
90;35;6;0;
90;18;0;1;
90;36;6;0;
90;15;1;0;
90;33;12;0;
90;16;1;1;
90;34;10;0;
90;13;3;0;
90;39;4;0;
90;14;2;0;
90;11;3;0;
90;37;4;0;
90;12;2;0;
90;38;2;0;
90;21;337;0;
90;20;97;0;
90;42;3;0;
90;41;2;0;
90;40;1;0;
90;22;265;0;
90;23;204;0;
90;24;153;0;
90;25;116;0;
90;26;88;0;
90;27;69;1;
90;28;50;0;
90;29;39;1;
90;3;6;0;
90;2;6;0;
90;10;2;0;
90;1;8;0;
90;0;8;0;
90;7;3;1;
90;30;29;0;
90;6;3;1;
90;5;3;1;
90;32;17;0;
90;4;4;0;
90;31;22;0;
90;8;0;1;

100;17;3;1;
100;35;115;0;
100;18;0;1;
100;36;88;0;
100;15;3;1;
100;33;197;0;
100;16;3;1;
100;34;149;0;
100;13;2;0;
100;39;39;1;
100;14;3;0;
100;11;4;0;
100;37;69;1;
100;12;3;0;
100;38;50;0;
100;21;2;0;
100;20;2;0;
100;43;12;0;
100;42;17;0;
100;41;22;0;
100;40;29;0;
100;49;4;0;
100;48;2;0;
100;45;6;0;
100;44;10;0;
100;47;4;0;
100;46;6;0;
100;23;1;0;
100;25;1;0;
100;26;1;1;
100;28;0;1;
100;29;1;0;
100;3;12;0;
100;2;13;0;
100;10;3;0;
100;1;12;0;
100;0;16;0;
100;7;1;2;
100;30;88;0;
100;6;4;2;
100;5;2;2;
100;32;252;0;
100;4;7;1;
100;31;317;0;
100;51;2;0;
100;52;3;0;
100;9;2;0;
100;8;1;1;
100;50;1;0;

110;36;0;1;
110;33;1;0;
110;38;0;1;
110;43;186;0;
110;42;225;0;
110;41;293;0;
110;40;79;0;
110;22;1;0;
110;23;1;0;
